transfermarkt_id	futbolcu	gol	mac	istatistik_durumu	kulup_sayisi	aciklama
226513	Mauro Rosin	583	659	EKSIK	6	Weekly match dataset only; historical aggregate unavailable
288463	Paolo Bordoni	504	503	EKSIK	3	Weekly match dataset only; historical aggregate unavailable
364082	Jan Goossens	489	651	EKSIK	3	Weekly match dataset only; historical aggregate unavailable
226113	Giacomo Zunico	481	554	EKSIK	3	Weekly match dataset only; historical aggregate unavailable
89230	Eusébio	464	431	EKSIK	3	Weekly match dataset only; historical aggregate unavailable
245801	Hugo Rubini	450	507	EKSIK	2	Weekly match dataset only; historical aggregate unavailable
88989	Roger Milla	437	670	EKSIK	6	Weekly match dataset only; historical aggregate unavailable
84528	Hugo Sánchez	432	711	EKSIK	2	Weekly match dataset only; historical aggregate unavailable
78388	Hans Krankl	426	518	EKSIK	2	Weekly match dataset only; historical aggregate unavailable
223467	Attilio Gregori	424	407	EKSIK	4	Weekly match dataset only; historical aggregate unavailable
387649	Mirko Benevelli	417	519	EKSIK	4	Weekly match dataset only; historical aggregate unavailable
363909	Luís Alberto da Silva Lemos	415	712	EKSIK	3	Weekly match dataset only; historical aggregate unavailable
200631	Jimmy Greaves	410	528	EKSIK	3	Weekly match dataset only; historical aggregate unavailable
7942	Romário	404	469	EKSIK	6	Weekly match dataset only; historical aggregate unavailable
514015	Walter Ciappi	403	584	EKSIK	3	Weekly match dataset only; historical aggregate unavailable
155070	Carlos Bianchi	400	562	EKSIK	1	Weekly match dataset only; historical aggregate unavailable
216653	Claudio Garella	400	521	EKSIK	4	Weekly match dataset only; historical aggregate unavailable
102486	John Aldridge	382	673	EKSIK	2	Weekly match dataset only; historical aggregate unavailable
268382	Coutinho	379	463	EKSIK	1	Weekly match dataset only; historical aggregate unavailable
13900	Patrick Goots	374	690	EKSIK	5	Weekly match dataset only; historical aggregate unavailable
13767	Manfred Burgsmuller	372	722	EKSIK	5	Weekly match dataset only; historical aggregate unavailable
17299	Damian Mori	368	596	EKSIK	1	Weekly match dataset only; historical aggregate unavailable
95887	Patricio Margetic	363	579	EKSIK	1	Weekly match dataset only; historical aggregate unavailable
22416	Anton Polster	359	559	EKSIK	6	Weekly match dataset only; historical aggregate unavailable
200746	José Luis González Vázquez	356	312	EKSIK	4	Weekly match dataset only; historical aggregate unavailable
24310	Giovanni Indiveri	352	318	EKSIK	3	Weekly match dataset only; historical aggregate unavailable
338943	Carmine Amato	345	353	EKSIK	2	Weekly match dataset only; historical aggregate unavailable
227280	Alessandro Mannini	342	473	EKSIK	4	Weekly match dataset only; historical aggregate unavailable
115064	Fernando Gomes	342	432	EKSIK	3	Weekly match dataset only; historical aggregate unavailable
226517	Marco Savorani	341	341	EKSIK	1	Weekly match dataset only; historical aggregate unavailable
96563	Lothar Emmerich	340	585	EKSIK	5	Weekly match dataset only; historical aggregate unavailable
226098	Davide Torchia	338	353	EKSIK	2	Weekly match dataset only; historical aggregate unavailable
481879	Juli Veee	336	489	EKSIK	3	Weekly match dataset only; historical aggregate unavailable
8141	Julio Salinas	336	707	EKSIK	4	Weekly match dataset only; historical aggregate unavailable
9854	Nikos Liberopoulos	336	695	EKSIK	1	Weekly match dataset only; historical aggregate unavailable
1724	Christoph Westerthaler	335	873	EKSIK	5	Weekly match dataset only; historical aggregate unavailable
447867	Maurizio Memo	332	335	EKSIK	6	Weekly match dataset only; historical aggregate unavailable
142872	Ruud Geels	329	473	EKSIK	7	Weekly match dataset only; historical aggregate unavailable
226392	Roberto Aliboni	327	448	EKSIK	4	Weekly match dataset only; historical aggregate unavailable
3110	Alan Shearer	326	560	EKSIK	1	Weekly match dataset only; historical aggregate unavailable
133753	Teófilo Cubillas	325	514	EKSIK	3	Weekly match dataset only; historical aggregate unavailable
135696	László Fazekas	324	546	EKSIK	2	Weekly match dataset only; historical aggregate unavailable
390712	Massimo Bianchi	324	346	EKSIK	6	Weekly match dataset only; historical aggregate unavailable
135094	Quini	324	566	EKSIK	2	Weekly match dataset only; historical aggregate unavailable
8021	Johan Cruyff	323	515	EKSIK	2	Weekly match dataset only; historical aggregate unavailable
380100	Oriano Boschin	323	336	EKSIK	2	Weekly match dataset only; historical aggregate unavailable
118167	Erwin Vandenbergh	322	565	EKSIK	3	Weekly match dataset only; historical aggregate unavailable
37264	Mario Kempes	322	555	EKSIK	6	Weekly match dataset only; historical aggregate unavailable
338190	Graziano Vinti	321	336	EKSIK	2	Weekly match dataset only; historical aggregate unavailable
489532	Zelico Petrovic	321	369	EKSIK	2	Weekly match dataset only; historical aggregate unavailable
150471	Willy van der Kuijlen	318	545	EKSIK	2	Weekly match dataset only; historical aggregate unavailable
227304	Giulio Drago	317	383	EKSIK	5	Weekly match dataset only; historical aggregate unavailable
101126	Ally McCoist	316	595	EKSIK	4	Weekly match dataset only; historical aggregate unavailable
228142	Ivan Gamberini	316	305	EKSIK	3	Weekly match dataset only; historical aggregate unavailable
780971	Rodolfo Fischer	316	347	EKSIK	3	Weekly match dataset only; historical aggregate unavailable
13775	Rudi Völler	314	542	EKSIK	3	Weekly match dataset only; historical aggregate unavailable
117633	Sócrates	314	639	EKSIK	2	Weekly match dataset only; historical aggregate unavailable
97599	Karl-Heinz Granitza	311	443	EKSIK	3	Weekly match dataset only; historical aggregate unavailable
431098	Gian Nicola Pinotti	309	341	EKSIK	3	Weekly match dataset only; historical aggregate unavailable
8024	Diego Maradona	306	491	EKSIK	3	Weekly match dataset only; historical aggregate unavailable
53817	Sebastián Abreu	306	558	EKSIK	8	Weekly match dataset only; historical aggregate unavailable
12948	Emmanuel Kenmogne	305	464	EKSIK	5	Weekly match dataset only; historical aggregate unavailable
468670	Roberto Marconcini	305	436	EKSIK	3	Weekly match dataset only; historical aggregate unavailable
640999	Evanivaldo Castro	304	472	EKSIK	1	Weekly match dataset only; historical aggregate unavailable
176520	Joe Baker	304	507	EKSIK	3	Weekly match dataset only; historical aggregate unavailable
84073	Hans Walitza	303	523	EKSIK	2	Weekly match dataset only; historical aggregate unavailable
101748	Josip Weber	302	515	EKSIK	2	Weekly match dataset only; historical aggregate unavailable
84173	Klaus Fischer	302	545	EKSIK	3	Weekly match dataset only; historical aggregate unavailable
97099	Nico Claesen	302	711	EKSIK	5	Weekly match dataset only; historical aggregate unavailable
5959	Gabriel Batistuta	301	430	EKSIK	2	Weekly match dataset only; historical aggregate unavailable
223453	Simone Braglia	301	346	EKSIK	2	Weekly match dataset only; historical aggregate unavailable
227398	Roberto Corti	300	386	EKSIK	2	Weekly match dataset only; historical aggregate unavailable
222775	Nello Cusin	298	316	EKSIK	3	Weekly match dataset only; historical aggregate unavailable
176358	Ron Davies	297	644	EKSIK	3	Weekly match dataset only; historical aggregate unavailable
143452	Fernando Morena	295	316	EKSIK	5	Weekly match dataset only; historical aggregate unavailable
129083	Iván Zamorano	294	519	EKSIK	2	Weekly match dataset only; historical aggregate unavailable
226494	Giordano Negretti	293	349	EKSIK	1	Weekly match dataset only; historical aggregate unavailable
169662	Mario Paradisi	291	305	EKSIK	2	Weekly match dataset only; historical aggregate unavailable
16980	Jürgen Klinsmann	289	528	EKSIK	3	Weekly match dataset only; historical aggregate unavailable
35032	Mustafa Kocabey	289	519	EKSIK	12	Weekly match dataset only; historical aggregate unavailable
132458	Andrzej Szarmach	288	451	EKSIK	4	Weekly match dataset only; historical aggregate unavailable
3501	Stéphane Chapuisat	287	557	EKSIK	4	Weekly match dataset only; historical aggregate unavailable
22256	Gary Lineker	286	462	EKSIK	2	Weekly match dataset only; historical aggregate unavailable
387390	Gary Heale	285	515	EKSIK	2	Weekly match dataset only; historical aggregate unavailable
95084	Nico Braun	285	465	EKSIK	2	Weekly match dataset only; historical aggregate unavailable
141046	Włodzimierz Lubański	285	430	EKSIK	5	Weekly match dataset only; historical aggregate unavailable
116370	Nené	284	421	EKSIK	1	Weekly match dataset only; historical aggregate unavailable
386926	Ron Futcher	284	630	EKSIK	6	Weekly match dataset only; historical aggregate unavailable
6397	Dario Hübner	283	581	EKSIK	3	Weekly match dataset only; historical aggregate unavailable
145743	Ian Rush	282	601	EKSIK	3	Weekly match dataset only; historical aggregate unavailable
495730	Paolo De Toffol	282	326	EKSIK	2	Weekly match dataset only; historical aggregate unavailable
245798	Alessandro Zaninelli	281	326	EKSIK	4	Weekly match dataset only; historical aggregate unavailable
224546	Fabio Brini	281	314	EKSIK	2	Weekly match dataset only; historical aggregate unavailable
476636	Raffaele Trentini	281	356	EKSIK	3	Weekly match dataset only; historical aggregate unavailable
38243	Rolando Fonseca	281	440	EKSIK	3	Weekly match dataset only; historical aggregate unavailable
7940	Ronald Koeman	280	535	EKSIK	3	Weekly match dataset only; historical aggregate unavailable
12406	Fritz Walter	278	569	EKSIK	4	Weekly match dataset only; historical aggregate unavailable
638323	Alan Willey	275	455	EKSIK	1	Weekly match dataset only; historical aggregate unavailable
21336	Alessandro Cesaretti	275	264	EKSIK	6	Weekly match dataset only; historical aggregate unavailable
227413	Enzo Biato	275	406	EKSIK	5	Weekly match dataset only; historical aggregate unavailable
102346	Petar Mihtarski	275	605	EKSIK	4	Weekly match dataset only; historical aggregate unavailable
3625	Mário Jardel	274	358	EKSIK	8	Weekly match dataset only; historical aggregate unavailable
176054	Ted MacDougall	274	571	EKSIK	4	Weekly match dataset only; historical aggregate unavailable
27656	Luc Nilis	273	460	EKSIK	3	Weekly match dataset only; historical aggregate unavailable
380045	Roberto Renzi	273	316	EKSIK	4	Weekly match dataset only; historical aggregate unavailable
74	Ulf Kirsten	273	504	EKSIK	1	Weekly match dataset only; historical aggregate unavailable
7939	Gheorghe Hagi	272	516	EKSIK	4	Weekly match dataset only; historical aggregate unavailable
447901	Enrico Cavalieri	271	283	EKSIK	2	Weekly match dataset only; historical aggregate unavailable
7896	Savo Milošević	271	476	EKSIK	4	Weekly match dataset only; historical aggregate unavailable
4977	Alexander Frei	269	461	EKSIK	8	Weekly match dataset only; historical aggregate unavailable
135001	José Reinaldo de Lima	269	477	EKSIK	2	Weekly match dataset only; historical aggregate unavailable
